summary,paragraphs,sentiment_paragraph,sentiment_summary,topic,sentiment,outcome
"The article discusses the allocation of $60 million from the Common Humanitarian Fund to aid agencies in Juba, South Sudan to provide assistance during the upcoming dry season. The funds will be used for non-food items, emergency shelter, water and sanitation, livelihood supplies, camp coordination, education, emergency telecommunication, health, logistics, and protection, with the aim of supporting 4.1 million people in need.","Juba, South Sudan — The Common Humanitarian Fund (CHF) has allocated $60 million to get the humanitarian response for 2015 off to a timely start. The money will support aid agencies to take maximum advantage of the onset of South Sudan's dry season, during which aid agencies plan to use roads to deliver aid to as many people as possible. ""Thanks to donors, this CHF allocation allows humanitarian partners to hit the ground running from 1 January,"" said Toby Lanzer, the Humanitarian Coordinator in South Sudan. ""However, it is only 10 per cent of the $600 million we need by the end of February if we are to save more lives and reach all people in acute need in early 2015,"" he continued. The largest portion of the CHF funding will support non-food items and emergency shelter, water and sanitation, and livelihood supplies. Seeds and tools must be in the right locations by April so that communities can make the most of the planting season. With a projected 2.5 million people facing food insecurity between January and March, such support is critical. Funding will also go toward camp coordination, education, emergency telecommunications, health, logistics, and protection. The South Sudan Common Humanitarian Fund is a multi-donor pooled fund established in 2012. Since the current crisis began, the CHF has allocated $194.5 million in South Sudan. Current donors include: Australia, Belgium, Denmark, Germany, Ireland, the Netherlands, Norway, Sweden, Switzerland, and the United Kingdom. This CHF allocation comes as aid agencies in South Sudan are appealing for $1.81 billion dollars for 2015 to support 4.1 million people in need. With more timely funding available at the outset of 2015, aid agencies would be well positioned to meet the most acute needs. SOURCE Coordination of Humanitarian Affairs (OCHA) in South Sudan",NEGATIVE,NEGATIVE,humanitarian,1,1
"The article discusses the challenges faced by people living in Minkamen, a settlement in South Sudan that has grown rapidly due to conflict. The poor state of the roads makes it difficult to deliver supplies, and the hard clay subsoil causes issues with drainage. The Red Cross is preparing for the rainy season by raising toilets above large containers to prevent overflow and the spread of disease. Many people are sick and in need of medical assistance, and the area is in dire need of aid during this difficult time. The article also tells the story of Diing, a Red Cross volunteer who was abducted as a child and scarred with marks of another tribe. He and his fellow aid workers have had to flee violence themselves, but are dedicated to helping those in need.","We are up early this morning to set off for Minkamen, the biggest settlement site in South Sudan for people forced from their homes due to the ongoing conflict. The place has expanded from a small village of 7,000 to a town of over 90,000, with new arrivals coming every day. Getting supplies to these people is difficult; the poor state of the road means it takes two days for a truck to get there, even though the distance is only 150 kilometres. Fortunately, we get a ride on a Red Cross helicopter that is delivering aid supplies and personnel to the site. From the air you get a clear idea of how barren the country is and how few roads there are. Forty minutes later, the settlement area comes into view. It is on the River Nile. What strikes you most is the sheer, sprawling extent of it. A volunteer from the South Sudan Red Cross awaits us, along with the International Committee of the Red Cross. I notice he has scars on his forehead, four straight lines, which I assume must be tribal markings. I will come back to these later. Upon arrival, it soon becomes clear how difficult life is for these families. There are puddles and mud everywhere. The hard, clay subsoil makes it hard for the water to drain away. Our ATV gets stuck. Trucks get stuck. And this is even before the rainy season has really begun. The Red Cross is busily preparing for the rainy season. About 300 toilets will be raised above large, dug-in containers. This is to prevent the toilets from overflowing, which would result in excrement running out among all the temporary huts, with all the hazards that would bring, such as outbreaks of diarrhoea. This can be deadly, especially for children. I notice a naked child playing by a toilet that has already overflowed, flies crawling around his eyes. We explain to his parents that this is not a good idea. A mother of four tells me that many people are already sick. Her daughters have diarrhoea, but she has no money to buy medicine. They do have food, but it is a monotonous diet. As we arrive, a big supply tent is being erected so they can get essential aid to help them survive the rainy season. In the evening, I get talking with Diing, the South Sudan Red Cross volunteer who collected us from the airstrip, the man with the scars on his forehead. This 25-year-old aid worker comes from nearby Bor, on the other side of the river. He fled to a village further away, while over 50,000 others narrowly escaped with their lives by crossing the river in boats. Many of the people who stayed behind, most of them elderly, were killed. The first days were hell, says Diing. For days on end, people had nothing to eat. There was no help for the wounded and nowhere to sleep. On top of all that, it was hot, well over 40 degrees Celsius. After four days, relief came from the Red Cross. With other Red Cross volunteers, Diing worked around the clock to help those in greatest need. It was not easy, because everyone needed help. People in surrounding villages are also in dire straits. In recent months, the Red Cross has provided not only food for over 10,000 people in Minkamen and the surrounding area, but also cooking equipment, clean water and tarpaulins to protect the huts against the rain. However, another Red Cross aid worker says the work is still not finished by a long shot. I ask Diing if this is the first time he has had to flee the violence. Then, unexpectedly, comes the explanation of the scars on his forehead. It turns out to be a moving story. At the age of four, Diing was abducted by an armed band. With a knife, they cut marks deeply into his forehead. It was the symbol of another tribe. For four years, Diing did not see his parents, and was taken in by a family who regarded him as their son. Eventually, his parents were able to trace him. They demanded the return of their son and threatened vengeance. Due to bad roads and the continuing conflict, it took another six years before Diing was to embrace his parents again. It was because of this experience that Diing decided to devote the rest of his life to helping other people. He became a volunteer with the Red Cross. Every one of the South Sudan Red Cross volunteers has their own tale to tell. Nearly all of them have had to flee the violence. I am impressed by the strength and endurance of these hard-working aid workers, many of whom are young. Our conversation is suddenly interrupted. A colleague comes to say that the generator will soon be switched off as it is nine o'clock. A storm is on the way, so we are advised to stow our stuff in the vehicle. Time to crawl into my little tent, with a mosquito net over me.",NEGATIVE,,humanitarian,0,-1
The article discusses the dispatch of more troops by Sudan Armed Forces to the Blue Nile following recent clashes with the Sudan People's Liberation Movement near the towns of Kurmuk and Mafo. The Blue Nile state welcomed an infantry battalion from Marawi and is expected to receive two additional battalions. The African Union mediation has convened a meeting on 15 March for political negotiations to end the conflict in the two areas.,"Khartoum — Sudan Armed Forces (SAF) have dispatched more troops to the Blue Nile following recent clashes in the eastern Sudan state with the Sudan People's Liberation Movement (SPLM-N) near the strategic town of Kurmuk on the border with Ethiopia. SAF launched recently an attack on the SPLM-N's positions in Mafo, located at about 20 kilometres southwest of Kurmuk but the rebels repulsed the attack and followed the Sudanese troops to the outskirts of the border town. The Blue Nile state welcomed the infantry battalion (931) which arrived from Marawi, northern Sudan, in the context of strengthening the state security, reported the semi official Sudanese Media Centre on Friday. The new service which is close to the intelligence service, further said that two additional battalions are expected to arrive in the coming days. It added that the Blue Nile state has launched a campaign to recruit new troops with the participation of the state leadership of the executive, legislative and political organs. Informed sources told Sudan Tribune that most of the Sudanese army soldiers killed in the attack on Mafo were from the Blue Nile. The SPLM said they killed about 86 soldiers during the clashes. The African Union mediation convenes a meeting on 15 March for political negotiations to end the conflict in the two areas. The SPLM-N announced that its secretary general Yasir Arman will lead its negotiating team, but Khartoum did not make any announce.",POSITIVE,POSITIVE,conflict,-1,0
"The article discusses the increasing militant threats from Sudan's President Omar Al Bashir regarding regions disputed with South Sudan. President Bashir threatened war at a pro-government rally in Blue Nile State and accused South Sudan of funding and supporting the Sudan People's Liberation Movement-North, currently fighting the Sudanese army over control of disputed border regions. This violent language is worrying given the numerous issues that the two countries need to tackle together, including border demarcations, visa issues and the division of oil revenues.","After a decades-long civil war was finally resolved with the secession of the south, you'd think Sudan would be ready for a little peace and quiet. Instead, Khartoum is threatening to re-ignite the conflict over an increasingly violent border dispute. The rhetoric from Sudan is getting more militant as conflict escalates in regions disputed with the now-independent South Sudan. Sudan's President Omar Al Bashir made his threat explicit at a pro-government rally in Blue Nile State, which is one of the disputed regions. ""We tell our brothers in the south that if they want peace, we want peace. If they want war, our army is there,"" he told the crowd. ""Our message to our brothers in the south is this: you won the south not because you were victorious, but because of an agreement and a pledge we upheld, so you had better stay in your place."" Sudan has accused South Sudan of funding and supporting the northern branch of the Sudan People's Liberation Movement-North, which became the main opposition in the north after the secession of the south. The SPLM-N is an offshoot of South Sudan's ruling party (so these accusations might not be too far off the mark), and is currently fighting a bitter battle with the Sudanese army over control of disputed border regions. This was reiterated in comments made by Bashir's presidential aide Nafie Ali Nafie. He declared Sudan would ""negotiate with the SPLM in the only language they understand the language of war."" Nafie is not just any presidential aide; he's a hardliner with a nasty reputation for torture, and has the ear of the president. Khartoum's violent language is a worrying development given the parlous relations between the north and the south, and the many issues they are supposed to be tackling together, such as border demarcations, visa issues and, most importantly, the division of oil revenues.DM",NEGATIVE,NEGATIVE,conflict,-1,-1
"The article discusses South Sudan's vice-president Riek Machar urging state governments to prepare for a conference on national reconciliation and healing among communities and leaders in South Sudan. Machar blames the mental and physical barriers among communities on the decades of war with the present Sudan and its resulting internal conflicts within South Sudan. The initiative by the government aims to make the nation reconcile with its past, ensuring that bitterness should not be allowed to carry on to the next generation. The event takes place in Juba, with the upcoming April 2013 conference being organized by the Office of the President and the Initiative of Change participating in the same process in South Sudan.","Juba — South Sudan's vice-president, Riek Machar, on Thursday urged the leaderships of the state governments to prepare the ground for the upcoming conference on national reconciliation and healing among the communities and leaders in South Sudan. Leaders of SPLM join their hands following successful reconciliation between John Garang and Salva Kiir in Rumbek, Dec. 1, 2004 (ST) According to the vice-president's press secretary, James Gatdet Dak, he said Machar reiterated the need for the national reconciliation during a meeting with governors and speakers of the state assemblies on the sideline of the post-independence 2nd Governors' Forum at the Freedom Hall in Juba on Thursday. The vice-president briefed the state leaders about the initiative by the government to make the nation reconcile with its past, adding that the bitterness should not be allowed to carry on to the next generation. Machar blamed the situation on the decades of war with the present Sudan and its resulting internal conflicts within South Sudan, saying such conflicts caused mental and physical barriers among the communities. This, he said, has also affected the inter-marriages between tribes which used to be a practice by the older generation. Machar recalled a sample research he made during his visits to Lakes state during which nobody from the younger generation including youth in the cattle camps told him he got married to a Nuer girl. Only people from the older generation of the Dinka tribe of about 50 years of age said they got married to Nuer ladies. When he asked why the youth didn't get married to Nuer girls, the young men replied that during the war there were no more inter-communal meeting points of youth across the communal borders where young men across could have a chance to court girls from the other side since communities became rivals and enemies, they told Machar. Machar further recalled that during those good old days a Nuer or Dinka man would fluently speak and even sing songs in the other's language in the process of courting the girls. ""We need to break this barrier,"" Machar told the state leaders. Leaders in South Sudan are known for their reconciling spirit after political differences. Examples include the reconciliation between Machar and the late leader, John Garang, in 2002 in Nairobi, which resulted to the merger of their forces after the 1991 political split. Another successful reconciliation was between the late leader John Garang and the current president of South Sudan, Salva Kiir Mayardit, in Rumbek in November 2004, when a conflict emerged between the two over the running of the movement. Machar told the state leaders that the current barriers caused by the lingering wars in minds even after independence was attained should be addressed and overcome, urging them to prepare the ground for the reconciliation. The Office of the President through the Presidential advisor for decentralization, Tor Deng Mawien, will organize the upcoming April 2013 conference and its subsequent campaigns in the states. It will also establish the necessary communications with all the stakeholders at all levels of government. A renowned international organization, the Initiative of Change, which is known for intervening in such reconciliation processes around the world, will also participate in the similar process in South Sudan. The vice-president of the Initiative of Change, Edward Peter, an Australian-born British, was present with his team during the Thursday meeting in Juba. Edward in his remarks during the meeting expressed his organization's readiness to assist in the reconciliation process in the country, which will bring on board famous international personalities including the South African Archbishop, Desmond Tutu.",POSITIVE,POSITIVE,conflict,1,1
"The article discusses the ongoing conflict in South Sudan, which has resulted in the deaths of many people, including women and children who were fleeing the violence. The conflict started in Juba and has spread to several other states. The fighting is between two leaders, and the article questions the objective of the war. The article suggests that a neutral caretaking government should be put in place to heal the wounds and impartially conduct the coming elections.","In the words of Joseph Omwenga, a Kenyan who wrote in the Daily Nation of January 16th, 2014, ""The ferry tragedy in which 200 people fleeing the South Sudan Conflict drowned was unfortunate. I can imagine what was going on in women and children's minds when the ferry capsized: Why us? Death stared at them arrogantly before they bade life goodbye. Hard as I try, I failed to capture vividly the grotesque picture of children and women drowning in the Nile. They were escaping death by guns, but died by drowning. It is a deafening call to the world."" That is how someone from outside South Sudan described what happened to at least 200 people, mostly children and women fleeing the fighting in Malakal, the capital of Upper Nile state, drowned on Tuesday 14th January as their vessel capsized on the White Nile. Besides this tragedy, the International Crisis Group and other aid agencies estimate that up to10,000 people have been killed in the fighting, which started in Juba, the capital of South Sudan on 15th December, 2014 and spread to three states of Jonglei, Unity and Upper Nile, which are the birthplaces of Nuer community to which Dr Riek Machar belongs. The UN says 65,000 people have taken refuge in UN camps across the country and more than 430,000 have been displaced internally or fled the neighbouring countries as refugees. The above figures do not include those who left to the country side and other safer places. Juba has now lost about 70% of its population. Many have decided to go to their home villages or live as urban refugees in Kenya and Uganda. All most all foreigners have left the country. Although Mr Joseph Omwenga was right to call it ""a deafening call to the world"", it should be first and foremost a deafening call to the belligerents of the conflict. The country is burning; people are being killed and displaced in thousands; the historic towns of Bor, Bentiu and Mayom have been completely razed down; yet these happenings don't touch the conscience and moral authority of the so-called leaders who are indulged in the execution of this senseless and objectiveless war. Though wars and conflicts are parts of human nature, they occur and are being engaged in for a noble cause. For example when people of South Sudan engaged themselves in lengthy and destructive wars with northern Sudan for decades, the objective was very clear for the whole world to see. It was a war of liberation-a just war. But what is this war for?! For those who have been closely following the political events in South Sudan, it is all about power struggle between two individuals. What if these two people, for example, succumb to the laws of nature (God forbids), will South Sudan stay without someone who can lead the system of government? According to the explanation given by the government side of President Salva Kiir, the conflict resulted from ""attempted"" coup. Underline the word attempted. For Dr Riek Machar, the fighting erupted accidentally among the members of presidential guards unit, but it took tribal lines between Dinka and Nuer soldiers, and as such it wasn't a coup. Underline the word accidentally. Why the fight took tribal lines should be left for the investigators to establish. If something was attempted or did happen accidentally, it should have been treated as such and normalcy maintained at all cost, because war is destructive and should have been avoided at all cost. However, the crisis in Juba did not end with members of presidential guards unit. It spread into residential areas and some members of Nuer community were targeted and killed. This angered Nuer soldiers and civilians alike in the places where they are the majority. In these places Dinka people were targeted and killed. Fortunately, Dinka people didn't retaliate in the places where they are the majority. Nuer people in Dinka lands were spared except in one case where a Nuer army officer was killed with two body guards by a single soldier whose relative was killed on the other side. Some Dinka people were also spared on Nuer sides through protection from personal friends. To compound the problem, a division commander called Peter Gadet, a Nuer, rebelled in Bor, the capital of Jonglei state. He ransacked the town and declared his allegiance to Dr Machar. Another General by name James Koang, who also hails from Nuer, did the same thing in Bentiu, the capital of Unity state. General Peter Gadet was later reinforced by 25,000 from the so called Jiesh-mbor (white-army), a group of armed youth, from greater Akobo who were mobilised by a Nuer prophet. This huge force enabled Gadet to reclaim Bor from pro-government forces after he had lost it for few days. This situation compelled the government to fight back in order to impose it authority all over the country. The pro-government forces have reclaimed Bentiu and Mayom with heavy losses, on the two sides, in both humans and materials. According to pictures shown by a satellite, the two towns have been razed to ground zero. Similar skirmishes took place in and around the town of Malakal, the capital of Upper Nile state. Fighting occurred between government forces and their colleagues who changed side to join Dr Machar. However, the last attack on Malakal, which caused the drowning of 200 people, came from armed youth mobilised among Dr Machar's supporters from greater Nasir in eastern Upper Nile. It defeats the logic of convention war for anyone to order armed civilians to attack convention army holed up in a fortified military garrison. Such a venture can result in heavy losses as it happened in the last attack on Malakal. Around Juba, there is a collection of soldiers who hail from Nuer community who deserted/escaped from Juba and other army garrisons within greater Equatoria. They are hiding in the bushes south-west of Juba. These are the group believed to have killed a senior army officer called Marach Akoon with his body guards on Juba-Yie Road. They occasionally lay roadblocks, kill passengers from specific tribe(s) and rob others of money and mobile phones. As anyone can discern, it is war all over. The peace talks in Ethiopian capital Addis Ababa under auspices of IGAD have stalled many times because of the demand from Dr Machar's side that his 9 or so comrades arrested by the government in Juba should be released to join his negotiating team. Frankly speaking, the people under arrest may be innocent. According to Madam Rebecca Nyadeng, Dr John Garang's widow, they were picked from their houses, following Juba incident. The argument is that they could have not staged a coup and stayed in their houses. They could have hidden themselves or escaped with Dr Machar. In this respect, the ongoing investigation, if impartial, may set them free. South Sudanese should not be kept ransoms to their release that can be normally done through legal processes. Again, there is nothing the detainees can say in peace talks, which cannot be said by Dr. Machar himself or Governor Taban Deng, the head of delegation. Taban was unconstitutionally removed from governorship of Unity state by President Kiir. President Kiir is partly reaping what he has sown. If this war erupted as a result of attempted coup; accidental fight among the members of presidential guards unit; the outrage caused by target killing in Juba; or power struggle between Kiir and his former deputy then it should stop with immediate effect. For those who took law into their own hands because of the spirit of revenge, time has lapsed. One month killing has devastating the country. Justice and healing processes should be given a chance. The crimes already committed against the people of South Sudan are heinous enough to take some of the belligerents to the International Court of Justice (ICC) in The Hague. It will be therefore futile for the leaders involved in this conflict to fight for power when the law will get it in their neck sooner than later. Further, control of the country by forces by either side will not yield fruits because the other side will always fight back, creating a vicious circle of civil strife. The principal option for people of South Sudan, with the help of international community, is to put in place a neutral care-taking government that can reunite the citizens, heal the wounds and impartially conduct the coming elections. The current leaders are too entangled (in the current crisis) to be disentangled. God save people South Sudan from the senseless war and mediocre leadership!!! The author has formerly served in the government of Lakes state of South Sudan as the County Commissioner for Yirol East and state Minister for education. He can be reached at: athiaanm@yahoo.com The views expressed in the 'Comment and Analysis' section are solely the opinions of the writers. The veracity of any claims made are the responsibility of the author not Sudan Tribune. If you want to submit an opinion piece or an analysis please email it to comment@sudantribune.com Sudan Tribune reserves the right to edit articles before publication. Please include your full name, relevant personal information and political affiliations.",NEGATIVE,NEGATIVE,conflict,0,-1
"The article discusses a group of Egyptian investors expressing interest in investing in South Sudan in areas such as aviation, river transport, road and bridges construction. The investors are expected to present their projects to the Ministry of Transport, Road and Bridges in Juba soon. The Egyptian delegation also expressed interest in constructing a beef factory in Juba and a railway line to connect South Sudan and Uganda.","Juba — A group of Egyptian investors have expressed interest to invest in South Sudan in the areas of aviation, river transport, road and bridges construction, the Deputy Minister of Transport, Road and Bridges Simon Mijak Mijok has said. After a meeting with Egypt's Minister of Trade and Industries Hon. Gala M.Elaswy, Hon. Mijak told journalists on Friday that a high level delegation from Egypt is expected to arrive in Juba soon to present their projects to the ministry. The meeting among other things discussed areas of cooperation between South Sudan and the republic of Egypt, the minister said. Mijak warmly welcomed the idea and said the country needs investors to invest in ""these"" key areas. The Egyptian Minister said his visit to Juba is to explore investment opportunities and cooperation between the ministry of transport, roads & bridges and the Egyptian government. Accompanied by some Egyptian businessmen, Hon. Gala further reiterated his delegation interest to construct a beef factory in Juba and a railway line to connect South Sudan with its southern neighbor Uganda.",POSITIVE,POSITIVE,economy,1,1
"The article discusses a partnership between the Central Banks of Kenya and South Sudan, where Kenya will support South Sudan's Central Bank in building its capacity to play its role as a lender of last resort. The partnership includes organizing internship opportunities, in-house training, and capacity building initiatives for Bank of South Sudan employees at the Kenya School of Monetary Studies in Ruaraka, Nairobi.","Nairobi — Kenya and South Sudan have partnered in an arrangement aimed at strengthening the capacity of their central banks. Under the arrangement, Kenya will support the Central Banks of South Sudan in what is aimed at building its capacity to play its role as a lender of last resort. The deal was officially signed last week by Kenya's Central Bank Governor Njuguna Ndung'u and his South Sudanese counterpart Komelio Korom, the governor of the Bank of South Sudan (BOSS). This follows a meeting between the two governors in Juba last week. In achieving the goals of the memorandum, the two institutions unveiled a technical working team tasked with presenting an interim report by March next year. ""The two teams have agreed on a raft of initiatives aimed at ensuring that South Sudan enjoys a seamless financial system within the short term. Timelines in the memorandum will be a major thing to observe,"" said Prof. Ndung'u. The technical team will among other things among other things organize internship opportunities, in-house training and a number capacity building initiatives for employees on the Bank of South Sudan. The trainings will be held at the Kenya School of Monetary Studies (KSMS) in Ruaraka Nairobi. Since attaining its independence in 2011, the government of South Sudan has embarked on a number of initiatives aimed capacity building within major institutions. The new government faces serious challenges among them financial inclusion with a recent report indicating that less than 10 per cent of the total population has access to banking services. Kenya's central bank is one of the most robust in the Eastern Africa region.",POSITIVE,POSITIVE,economy,0,1
"The article discusses the United Nations conference held in Istanbul in May, which focused on the world's 48 Least Developed Countries (LDCs) and aimed to encourage investors to view these countries as potential business opportunities rather than burdens. The conference emphasized the importance of trade, investment and productive capacities, as well as economic diversification to reduce Africa's LDCs dependence on extractive sectors. While renewed pledges for aid commitments were made, the focus was largely on encouraging foreign investment and improving market access. African LDCs, in particular, were urged to follow models of sound economic policies and invest in productive sectors to further strengthen improvements.","Istanbul - Two foreign shoe sellers were once sent to Africa in search of new customers. At the sight of locals marching barefoot, the first retreated in despair. The second rejoiced at the untapped market. He ordered thousands of shoes, sold them to locals and became a wealthy man, or so the tale goes. There is an appealing parallel that Cheikh Sidi Diarra, the UN special adviser on Africa and high representative for least developed countries (LDCs) is willing to draw between this story and the reality of the world's 48 LDCs (33 of which are in sub-Saharan Africa): ""Despite the many ills these countries endure, the world needs to start looking at them more as lands of opportunities rather than a burden,"" he says. Urging investors to consider nations associated with endemic poverty, disease and instability as a potential business magnet is a bold invitation. Yet the call is in line with the general tone of an international gathering that Mr. Diarra led in May in Istanbul, Turkey. Since 1981 the once-a-decade UN conference has focused on the world's most vulnerable countries (as defined by low per-capita incomes, low standards of living and high vulnerability to economic shocks). Its aim has been to mobilize support, including by encouraging developed nations to disburse more aid to LDCs. In the past, much time has been devoted to this issue. This time, however, talk about aid was not central. That was in part a result of the budget constraints imposed on rich countries by a frustratingly slow economic recovery. A growing realization that aid alone cannot solve the fundamental problems LDCs face added to what some see as a welcome shift away from the usual debates. Ultimately, the Istanbul Programme of Action renewed aid commitments made at the previous conference in Brussels, Belgium, 10 years ago. Donors pledged to devote between 0.15 and 0.2 per cent of their gross national incomes (GNIs) to aid to LDCs. Civil society groups in Istanbul criticized that as too little. ""Having caused massive costs in the LDCs through financial and food speculation, unjust trade rules, illegitimate loans with onerous conditionality and ecological damage, including climate change, the developed countries have not even committed to provide more aid to LDCs,"" they said. This is a charge that Mr. Diarra disputed. Although not new, this promise of aid remains an important one, he argued, adding that if fulfilled, it would likely raise the amount of aid actually going to LDCs from its current annual level of $38 billion. The emphasis in Istanbul was on trade, investment and productive capacities. Months before the meeting, trade issues were at the centre of some of the most heated debates among negotiators. African LDCs called for the adoption of a long-debated scheme that would allow all their exports to enter developed-country markets without any duties or quotas. Such preferential treatment was considered a step too far by most developed countries, however, even though LDCs' share of world trade currently stands at only 1 per cent. The charms of the crossroads city of Istanbul did not change any minds. Instead, there was renewal of yet another decade-old commitment: tariff-free access to developed nations' markets for 97 per cent of LDCs' exports. Unfortunately for African LDCs, this arrangement provides little benefit, as the 3 per cent of exports excluded from tariff-free treatment covers some of the countries' most important export products, including agricultural commodities such as sugar, rice, meat and dairy products. African LDCs' quest for more foreign investment received a stronger boost. Measures designed to encourage developed countries' corporations to invest in LDCs were adopted, with governments expected to encourage their companies to invest in LDCs by providing fiscal incentives and special lines of credit. In recent years the 33 LDCs from Africa have benefited most from the growth in foreign direct investment (FDI) to LDCs, which rose from $4.1 billion to $32.4 billion between 2001 and 2008. African LDCs accounted for almost half of that total. Yet not only did FDI's eight-year growth come to a brief halt following the global recession, it also appears that FDI is mostly oriented toward just a few sectors, such as oil and minerals. As a result, few jobs have been created and strong growth in oil-rich countries such as Angola and Equatorial Guinea has yet to translate into meaningful change in people's lives. Such trends must change if foreign investment is to help reduce poverty, which affects over half the population in the continent's LDCs. In order for it to do so, the Istanbul Programme of Action calls for economic diversification to reduce African LDCs' dependence on the extractive sector. One major point of agreement among delegates in Istanbul was the need to invest in productive sectors, including agriculture, industry and infrastructure. The Programme of Action refers to these as ""development multipliers,"" as improvement in each area will benefit others. In an era of rising food prices, the call for further investment in agriculture is of particular interest to Africa, as the continent spends around $33 billion every year on food imports. As the rest of the world hears calls to look at the continent in a more positive way, are the continent's LDCs ready to seize the opportunity? ""There is no doubt many African LDCs are performing better. Sound economic policies are leading to strong improvements in various areas,"" asserted Mr. Diarra. Based on their strengths and needs, more African LDCs should follow suit, he urges. If they do, the legendary foreign shoe sellers arriving in Africa may be left only with the impression that they came in far too late. Africa Renewal www.un.org/africarenewal Note to the editor: What if much of sub Sahara Africa was to become the  world's next business destination? The question might sound odd, yet it  is in line with the tone of a UN Conference held in Istanbul last  May.For UN Africa Renewal, André-Michel Essoungou reports. André-Michel Essoungou writes for UN Africa Renewal magazine. Over the past decade he has worked as Foreign Correspondent posted in Canada, US, Tanzania, Uganda and Switzerland for international media including the BBC World Service and Radio France International. He covered and published extensively on African affairs. His work has appeared in The New York Times, Le Monde Diplomatique and French Daily Liberation, among other publications. He is the author of a book (Justice à Arusha, published in Paris at l'Harmattan in 2006) and he holds a Master Degree in Political Science from Université de Genève (Switzerland).",POSITIVE,POSITIVE,economy,1,1
"The article discusses Kenyan Commercial Bank's donation of SSP 200,000 to the Juba military hospital in South Sudan. KCB has been operating in South Sudan since May 2006, with 19 branches spread across 10 states. The donation is part of KCB's corporate social responsibility to the community, which includes supporting education, health, humanitarian need response, environment, and enterprise development. The article also highlights KCB's commitment to supporting South Sudanese towards achieving economic independence.","Juba — The Kenyan Commercial Bank (KCB) on Wednesday unveiled a SSP 200,000 ($40,000) cheque in support of the dilapidated Juba military hospital, as part of the institution's corporate social responsibility to the community. The event, held at the military hospital premises in Juba, the South Sudan capital, kicked off with a tour of the visibly under-funded health facility, which was run jointly by Khartoum and Juba during the interim period of the Comprehensive Peace Agreement until South Sudan seceded in July last year. While speaking at the occasion, John Kimanthi, KCB Sudan managing director lauded the relationship between East Africa's largest commercial bank and South Sudan, which he said commenced before signing of Comprehensive Peace Agreement (CPA) in 2005. The CPA ended over two decades of a bloody civil war fought between southern rebels and Sudanese government and gave South Sudan greater autonomy for a six-year period, followed by the right to independence through a referendum, which took place last year. Kimanthi said that his bank began full operations in South Sudan in May 2006, when Southern Sudan was a semi-autonomous region of Sudan, after obtaining official license from the Central Bank in Khartoum. The fist two branches were in Juba and Rumbek, the provincial capital of Lakes State. Currently, KCB has 19 branches spread all over the 10 states of the world's newest nation, employing over nearly 330 staff, and 80% of which are South Sudanese nationals. ""It has not been an easy walk,"" Kimanthi told Sudan Tribune, while applauding the ""strong commitment and persistence"" from KCB staff at all levels. ""Our future plan and vision is geared towards becoming the preferred financial solutions provider in Africa, with a global reach,"" he added. John Kimanthi, Kenyan Central Bank (KCB) Sudan Limited Managing Director during an interview with Sudan Tribune, June 6, 2012 (Julius N. Uma/ST) Susan Omanga, the chairperson KCB Foundation underscored the fundamental roles played by a fund initiative, especially in supporting communities in the areas such as education, health, humanitarian need response, and environment as well enterprise development. In the education sector, for instance, KCB has supported South Sudanese students through scholarships, constructed schools and provided school facilities, including reading materials. ""As a bank, we strongly believe that an educated society is an empowered society,"" she said amidst applause. On the environment, KCB has reportedly planted 31,000 trees throughout South Sudan, while the donation to the hospital is meant to support the health ministry in its efforts to improve service delivery in the country. Peter Muthoka, the outgoing KCB board chairman emphasised the importance of strong partnership with countries where the bank currently operates. To-date, he said KCB boasts of 223 branches spread throughout Uganda, Kenya, Tanzania, Rwanda and South Sudan. He pledged the banks continued commitment towards supporting South Sudanese, saying the country will make an immense contribution to the East African Community (EAC) once it becomes a member. ""KCB is here to stay with the people of South Sudan,"" noted Muthoka, adding KCB is committed to helping South Sudan, where it reportedly controls 42% of the banking industry, achieve its economic independence. Meanwhile, Gen. Pieng Deng Majok, the deputy chief of general staff in-charge of administration thanked KCB for its generous contribution to the health facility, pledging continued cooperation between the army and the financial institution.",POSITIVE,POSITIVE,economy,0,1
