summary,paragraphs,sentiment_paragraph,sentiment_summary,topic,sentiment,outcome
"The article discusses the humanitarian work of the International Committee of the Red Cross (ICRC) and the South Sudan Red Cross in various locations (Juba, Malakal, Bentiu, and Wau) in response to the armed clashes that broke out in Juba on 15 December. The ICRC is providing medical supplies, delivering clean water, and boosting the capacity of local hospitals to treat wounded patients. The organizations are also caring for the wounded on all sides, but there are concerns about the capacity of medical facilities to cope with the influx of patients.","Geneva — Since the first armed clashes broke out in Juba on 15 December, tens of thousands of civilians have fled in search of safety. The International Committee of the Red Cross (ICRC) and the South Sudan Red Cross are helping those caught up in the fighting. ""We're dealing with a rapidly evolving and highly volatile situation,"" said Melker Mabeck, ICRC head of delegation in Juba. ""Reports of targeted killings of civilians are alarming. We call upon all parties to spare civilians in all circumstances."" The ICRC and the South Sudan Red Cross are carrying on with their humanitarian work and caring for the wounded on all sides, but there are concerns about the capacity of medical facilities to cope with the influx of the wounded. From the very beginning of the crisis, the ICRC has been supporting the main hospitals in Juba. The organization has provided wound-dressing kits, medicines and other medical supplies to treat at least 500 people. It has also delivered 25,000 litres of clean water to one of Juba's main hospitals and has set up three tents to increase space for patient wards. The ICRC has focused its efforts on boosting the capacity of local hospitals to treat wounded patients: A surgical team is now based in one of Juba's main hospitals, performing round-the-clock surgeries. South Sudan Red Cross volunteers are administering first aid, dressing wounds and providing general assistance (such as moving patients and cleaning) in two of Juba's main hospitals. The medical team based in Malakal is operating on weapon-wounded patients following fighting in the city. Another team is supporting the local hospital in Bentiu, working particularly with the local surgeon to treat the influx of people wounded in the fighting in the surrounding area. The ICRC has also delivered medicines and other general and specialized medical supplies to treat up to 250 weapon-wounded patients in Bentiu. The ICRC is assembling another full team, who will be sent to South Sudan as soon as possible, along with several tonnes of medical supplies and equipment. The ICRC currently has teams working in Juba, as well as in Bentiu, Wau and Malakal. The organization is exploring all possible options for responding to humanitarian needs in this extremely challenging environment. SOURCE International Committee of the Red Cross (ICRC)",POSITIVE,POSITIVE,humanitarian,-1,-1
"The article discusses a surge in violent armed robberies targeting aid workers in South Sudan, including a recent attack on staff of a local charity. In October, there were 32 attempted or successful robberies and looting incidents, 15 of which took place in the capital city of Juba. The violence and crime against humanitarian organizations in South Sudan have become a major obstacle to providing aid, especially as malnutrition and famine loom. The civil war, which began in 2013, has displaced millions of people and claimed the lives of 34 aid workers.","Nairobi — Aid workers in South Sudan have been hit by a surge in violent armed robberies, the United Nations said on Monday, condemning the latest attack in which staff of a local charity, Nile Hope, were held at gunpoint as equipment was stolen. Humanitarian agencies reported 32 attempted or successful robberies and looting incidents in October, the U.N. said in a statement, including 15 in the capital, Juba. ""Violence and crime against humanitarian organisations in South Sudan are jeopardising the ability of aid workers to provide assistance at a time when humanitarian needs are greater than ever,"" the U.N.'s humanitarian coordinator for South Sudan, Eugene Owusu, said in the statement. ""This is unacceptable and must stop."" A man working for Action Against Hunger was killed during a robbery of the charity's compound in September. He was the 34th aid worker killed in South Sudan since conflict erupted there in December 2013, according to U.N.'s Office for the Coordination of Humanitarian Affairs (OCHA). The world's youngest country descended into civil war when a row between President Salva Kiir and former government deputy Riek Machar escalated into fighting often running along ethnic fault lines between Kiir's Dinka and Machar's Nuer people. Kiir and Machar, facing international pressure and the threat of sanctions, signed a peace deal in August but have repeatedly accused each other of ceasefire violations. Deteriorating security in Juba is hampering aid workers efforts to assist South Sudan, the U.N. said. Malnutrition is at catastrophic levels, it says, with a risk of famine in some places towards the end of the year. The civil war has displaced more than 2.2 million people, mostly in the northern oil-producing Unity, Jonglei and Upper Nile states, where hunger is most acute. Staff of Nile Hope, a partner to several U.N. agencies, told the Sudan Tribune that six armed men entered their offices on Friday afternoon and forced staff into the toilet while they stole money, laptops and phones. (Reporting by Katy Migiro; Editing by Ros Russell)",NEGATIVE,NEGATIVE,humanitarian,-1,-1
"The article discusses the violence and clashes between the Murle and Lou Nuer communities in Jonglei, South Sudan, which resulted in the deaths of at least 600 people and the displacement of thousands more. The UN is calling for an end to the cycle of violence and is pledging to support reconciliation efforts.","The top United Nations official in South Sudan today called for an end to the ""cycle of violence"" engulfing the newly independent country's state of Jonglei, where hundreds of people have been killed in recent days in fighting between ethnic groups. At least 600 people have reportedly died and unconfirmed reports indicate almost 1,000 others were wounded during clashes between the Murle and Lou Nuer communities in Jonglei, the UN Mission in South Sudan (UNMISS) said in a press release. The attacks have followed large-scale cattle raids - a persistent problem in South Sudan - by members of the two groups which have led to the theft of between 26,000 and 30,000 cattle. Many homes have also been destroyed during the fighting, UNMISS said, and local authorities have reported that nearly 200 people may have been abducted and thousands of others displaced. Voicing deep concern about the attacks, Hilde Johnson, the head of UNMISS and the Secretary-General's Special Representative for South Sudan, urged all ethnic communities to exercise restraint. ""This cycle of violence must stop,"" she said. ""That so many people have been killed and injured again in such wanton destruction is unacceptable."" Ms. Johnson said reconciliation efforts are urgently needed and she pledged the mission's willingness to support such a process. An assessment and verification team from UNMISS has already visited the areas where the clashes took place and will return today to help local authorities facilitate reconciliation efforts. ""The security of all South Sudanese people must come first,"" Ms. Johnson stressed, adding her condemnation of the looting and destruction of humanitarian facilities in Jonglei.",NEGATIVE,POSITIVE,conflict,1,0
"The article discusses the recent tribal violence in South Sudan, particularly the attack on the town of Pibor by armed youths belonging to the Lou Nuer tribe, causing up to 50,000 people to flee. There have been clashes with the Murle tribe for a number of days and the South Sudan military has sent army reinforcements to the area for assistance.","Juba — The UN announced yesterday that up to 50,000 people have fled the tribal violence which broke out recently in South Sudan. Sources confirmed that 6,000 armed youths belonging to the Lou Nuer attacked the town of Pibor on Monday, after clashes which have now continued with the Murle tribe for a number of days. The coordinator of the UN for Humanitarian Affairs South Sudan said tens of thousands of civilians fled Pibor and other close towns to escape the violence. Philip Aguer, South Sudan's military spokesman said they have sent army reinforcements to the area.",NEGATIVE,NEGATIVE,conflict,-1,-1
"The article discusses the ongoing violence and crisis in South Sudan since December 2013, which has led concerned citizens from various fields to call for an expanded peace process that includes all South Sudanese voices, an immediate ceasefire and humanitarian access, accountability for all parties, and a citizen-driven national dialogue to address fundamental issues of governance and civil rights that have been neglected since 2005.","Expressing our alarm and concern with the ongoing violence, continued killing, loss of innocent lives and destruction of property in South Sudan since 15 December 2013, Affirming our moral responsibility to take a stance and be a positive force for peace and justice, Offering our deepest sympathies to those who have lost loved ones in the violence, Recognizing that what started as a political dispute within the Sudan People's Liberation Movement (SPLM) has now become a crisis engulfing the whole country, We, concerned citizens of South Sudan, drawn from civil society, churches, academia, think tanks and national NGOs, hereby agree to the following statement: The violence has brought into question the legitimacy of current institutions of governance in South Sudan and has undermined any claims that the parties to the conflict have to being the custodians of the people's interest. There is no military solution. The failure of key institutions, including the executive, legislature, judiciary and army, has contributed to the crisis. Since 2005, fundamental issues of governance and civil rights have been neglected. These include the national constitution, elections, freedom of expression, accountability, justice, reconciliation and security sector reform. We therefore resolve that: 1. The peace process should be expanded to include voices from all sectors of South Sudanese society and to address the fundamental governance issues that allowed the conflict to proliferate so quickly. 2. All parties must commit to an immediate ceasefire and guarantee humanitarian access. 3. All parties must abide by international humanitarian and human rights law. 4. All parties must ensure the safety of civilians in internally displaced persons (IDP) camps and areas under their control. 5. All parties must be held accountable for their actions and justice must be delivered for the victims and survivors of the violence. 6. A citizen-driven national dialogue should be initiated to address the critical challenges facing the South Sudanese people in their efforts to develop a democratic state and to promote reconciliation and healing. 7. The indefinite detention without charge of South Sudanese political figures is a violation of South Sudanese and international law. Political detainees must either be charged and provided with legal representation or released. 8. The current mediations being brokered by the Intergovernmental Authority on Development (IGAD) and states involved in the mediations should remain neutral to all parties. 9. Foreign governments should refrain from providing military assistance to any of the parties involved in the conflict as this will only contribute to the suffering of our people and should not be allowed. In recognition of the above findings and resolutions, we the Citizens for Peace and Justice commit ourselves to extending and continuing the dialogue with our fellow South Sudanese in the pursuit of a peaceful and just resolution to the conflict in our country. SIGNED: Agyedho Adwok, Citizen John Apuruot Akec, Academics and Researchers Forum for Development Zacharia Diing Akol, The Sudd Institute Anyieth D'Awol, The Roots Project David Kwol Deng, South Sudan Law Society (SSLS) Robert Deng, University of Juba Bol Gatkuoth, Citizen Samuel Lony Geng, Citizen Rev. Both Reath Luong, Nuer Peace Council Jok Madut Jok, The Sudd Institute Lona James Elia Luduro, Voices for Change (VFC) Machien Luoi, Citizen Athiaan Majak Malou, Citizen Don Bosco Malish, Citizen Lorna Merekaje, South Sudan Domestic Elections Monitoring Program (SSuDEMoP) Leben Nelson Moro, Citizen Chuol Gew Nhial, Citizen Abuor Gordon Nhial, Citizen Rev. James Ninrew, Nuer Peace Council Rev. George Riek, Citizen Rev. Peter Tibi, Reconcile Angelo Ugwaag, Citizen Samson Wassara, Citizen David K. Deng, Esq. Director, Research Department South Sudan Law Society (SSLS)",NEGATIVE,POSITIVE,conflict,1,1
"The article discusses South Sudan's monitoring of the security situation in Central Africa Republic following a military coup, led by Michel Djotodia. The CAR shares borders with Sudan's western Darfur region and the South Sudanese states of Western Equatoria and Western Bahr el Ghazal. South Sudan has put its military on maximum alert and is coordinating with the African Union to control the situation to prevent it from spilling over into its borders.","Juba — South Sudan said Saturday it is closely monitoring the security situation in the neigbouring Central Africa Republic (CAR) following a military takeover last week, raising fears that the instability could spill over into its African neighbours. Rebels led by Michel Djotodia, a former civil servant, seized power last week in a coup against the then president Francois Bozize. Djotodia, who has installed himself as the new head of state, said on Friday that he would review deals over resources signed by the previous government and has promised to step down after elections are held in 2016. The CAR shares a border with Sudan's western Darfur region and the South Sudanese states of Western Equatoria and Western Bahr el Ghazal. South Sudan, which seceded from Sudan in July 2011, is yet to properly demarcate the majority of its borders with Sudan, as well as its other neighbours. Ongoing border disputes with Sudan have prevented the new nation from clearly defining its often porous and un-demarcated borders with countries like CAR that are currently riven with conflicts. ""We have been closely monitoring [the] current security situation there, especially at our borders. The situation could simply get out of control if it is not monitored properly and carefully. It may slip toward the spiral of a vicious cycle"", Barnaba Marial Benjamin, South Sudan's minister of information, told reporters. The government spokesperson said his country has put the military on ""maximum"" alert, as well as coordinating with the African Union (AU) to control the situation. He also praised the ""adequate, collective reaction"" of the AU, which, in line with its code of conduct, does not automatically recognise all coups or attempted coups that become a cause of concern. ""This was why the [African] Union swiftly condemned the military takeover and demanded the immediate restoration of the legitimate, constitutional and democratic institutions. This demonstrates that the African leaders do not tolerate such unconstitutional assumptions of powers. This was a clear message which everybody has found"", he explained.",NEGATIVE,POSITIVE,conflict,0,-1
"The article discusses Mr Jean Philippe Prosper, the International Financial Corporation IFC's director for Eastern and Southern Africa, visiting Juba, South Sudan to follow up on some of the activities of IFC in the newly independent Republic of South Sudan. He is scheduled to meet with top government officials and donor representatives, and is announcing the opening of an IFC office in Juba. IFC has been investing in South Sudan since 2005 through various commercial banks.","Juba — Mr Jean Philippe Prosper, the International Financial Corporation IFC's director for Eastern and Southern Africa arrived in Juba yesterday for a two- day visit to Juba, the capital South Sudan. Speaking to the press shortly after touching down at the Juba International Airport, Mr. Prosper said his visit to Juba is to make follow-ups on some of the activities of IFC in the newly independent Republic of South Sudan. ""You may recall a few weeks ago, we had a Public Private Partnership (PPP) workshop in Juba, we would like to continue our decisions with government officials on PPP"", he said. Mr Prosper is scheduled to meet with top government officials during his visit. He is expected to meet South Sudan's Vice President, H.E. Dr Riek Machar Teny, the minister for Finance and Economic Planning, Hon Kosti Manibe Ngai, minister for Health, Hon Micheal Milly Hussein, minister for Commerce, Industry and Investment, Hon Garang Diing Akuong, and the minister for Electricity and Dams, Hon David Deng Athorbei. Mr Prosper is also expected to meet donor representatives among them, the American Charge d'Affaires, Chris Data representing the Ambassador, Mr Kevin Mullaly, Director, USAID and the Norwegian Ambassador, Ingrid Ofstad, and as well as representatives of private sector. He also announced that IFC is opening an office in Juba to have its activities in full gear in the newly independent country. Mr. Prosper observed IFC has been in service in South Sudan since 2005 and indirectly investing in South Sudan through some of the commercial banks. He mentioned Kenya Commercial Banks as being one of the banks through which they were able to process 100 million dollar loan last year and he added that IFC is in talks with other banks in South Sudan to support PPP development. Mr. Prosper's visit comes on the back of investment promotion activities by the Government of South Sudan, supported by IFC. These include the launch of the expanded second phase of the investment climate reforms program, an international engagement conference on South Sudan that took place in Washington DC, America, in December 2012, and the public-private partnerships (PPP) workshop in Juba in January 2012. IFC is a member of the World Bank Group that is the largest global development institution focused exclusively on the private sector.",POSITIVE,POSITIVE,economy,0,0
"The article discusses how CfC Stanbic Bank broke even in South Sudan after less than a year of operation, earning Sh150 million from its single branch. The bank plans to expand operations but may have to increase its investment from $15 million to $30 million due to an increase in minimum investment amount for foreign banks set by the South Sudan regulator. CfC Stanbic bank's managing director is waiting for clarification on the amount required. The bank has no problem increasing its investment and plans to open another branch this year. Kenya Commercial Bank and Equity are other Kenyan banks that have been operating in South Sudan for several years, and Co-operative Bank is planning its entry next month.","CfC Stanbic Bank managed to break even in South Sudan after less than a year in the market. The bank, which entered the market in April, announced it earned Sh150 million from its single branch and is now keen on expanding operations. The bank may have to increase its investment in South Sudan from around $15 million (approx. Sh1.290) to $30 million (Sh2.58 billion) to meet a new requirements set by the government there. The South Sudan regulator has doubled the minimum investment amount for foreign banks wanting to set up shop from $15 million to $30 million. ""Since we made our investment before they changed the regulation, we are asking whether we have to put in $15 million or $30million. They have not clarified, we are still waiting,"" CfC Stanbic bank's managing director Greg Brackenridge. Brackenridge said the bank has no problem increasing its investment in the market. ""If we are asked to put in $30 million, we have enough money to do that...from the rights issue. We do not expect this to impact on our business,"" he said. CFC raised Sh4.52 billion in an oversubscribed rights issue held last year. ""We see high growth prospects in that market and we plan to open another branch this year,"" said Brackenridge. Kenya commercial Bank and Equity are the other kenyan banks that have been operating in South Sudan for several years. Co-operative bank is planning its entry next month.",POSITIVE,NEGATIVE,economy,1,0
"The article discusses the inaugural Investment Conference held in Juba, South Sudan, which aimed to attract investments in various sectors including mining, petroleum, forestry, tourism, and infrastructure development, among others. The conference was organized by the Government of South Sudan in collaboration with several development partners, and investors already operating in South Sudan highlighted the opportunities available. The Minister of Finance also mentioned South Sudan's application to join the East African Community, stating that regional integration would improve the country's legal framework and import-export competitiveness, making it a credible place to invest and resulting in increased investments.","Juba — After two days of intense discussion and investment promotion, South Sudan's inaugural Investment Conference has finally come to an end in the capital, Juba. The Hon. Vice President of the Republic of South Sudan, H.E. James Wani Igga closed the two-day Investment Conference at Freedom Hall. The Conference is part of a broader national policy to attract investments in and into South Sudan, and was organised by the Government of South Sudan in collaboration with development partners, led by Netherlands government, the International Finance Corporation (IFC), Denmark, UK Aid and USAID. Speaker after Speaker discussed the potential investment areas for South Sudan in mining and petroleum, in forestry, tourism and animal resources; in infrastructure development including electricity and dams; housing, roads and water transport. Investors already in South Sudan, such as SABMiller South Sudan, Coca Cola South Sudan, Kinyeti Capital, Stanbic Bank, among others, underscored the opportunities in investing in South Sudan and applauded the rapidly improving investment climate. Speaking on the issue of Regional Integration, the Minister of Finance, Commerce, Investment & Economic Planning, Hon. Aggrey Tisa Sabuni said that South Sudan has applied to join the East African Community. Highlighting the advantages of integration, he said, ""Regional integration will promote best practice in business, as well as improve South Sudan's legal framework"", hence improve South Sudan's import and export competitiveness. He added that ""through integration, South Sudan will be seen as a credible place to invest with a larger market, and as a result, investments into the country will increase"". In his closing remarks, H.E. the Vice President, Mr. James Wani Igga commended the 900 delegates who had made it to the Conference, and stated that the Government of South Sudan is fully committed to building a strong and competitive private sector driven economy in South Sudan. ""We therefore recognize that the private sector is central to the realization of this higher level government objective, and will pursue this policy agenda in close partnership with the private sector, our development partners and other key stakeholders in the economy"", he said.",POSITIVE,POSITIVE,economy,1,1
"The article discusses Uchumi Supermarkets' plans to expand its business by opening a branch in Juba, South Sudan and new locations in Uganda. The retailer is also looking to make new inroads in Dar el Salam. The expansion comes as Uchumi faces increased competition in East Africa's saturated market from retailers such as Tuskys and Nakumatt.","Uchumi Supermarkets is eyeing entry into the South Sudan and new expansions in Uganda as part of the supermarket retailer's expansion drive to boost growth. Chief executive Jonathan Ciano said on Tuesday, that Uchumi would open a branch in Juba, which is likely to remain the newly independent State's commercial capital ""for at least a decade"" even as plans are under way to relocate the administrative town to Ramciel. ""The change in capital will not affect our plans. If anything it may take ten years for the other city to catch up with Juba. The retailer also plans to expand to other locations or add to existing branches in towns where it already has a presence. In Kampala, the regional supermarket giant expects to open new locations in the areas of Gulu, Kabalagala, Natete and Quality Mall in Kampala. It is also looking at expending into Kisumu, Ongata, Rongai, Kiisa, and Taj Mall in Embakasi, Kenya. It will also make new inroads in Dar el Salam with a new branch at the Quality Mall. Uchumi is currently looking for business premises and does not have a firm date when it expects to have opened for business in South Sudan. The supermarket chain is facing increased competition in most of East Africa's saturated market from retailers such as, Tuskys and Nakumatt; that have since embarked on aggressive expansion.",NEGATIVE,NEGATIVE,economy,0,0
"The article discusses an attack carried out by 300 young men suspected to be from Lakes state, in Payinjiar county, Unity state, South Sudan. The attack resulted in 10 deaths, 15 injuries, and the displacement of over 1,000 people. The attackers, who were armed with firearms and wore uniforms similar to those used by South Sudan's army, looted over 900 cows. The article also highlights the ongoing issue of cattle raiding causing insecurity in the region and the imposition of the death sentence for those convicted of cattle raiding by the governors of Lake, Unity, and Warrap states. Poor infrastructure has hampered patrols by police and army in border areas. Both Lakes and Unity states are currently ruled by caretaker governors after the elected governors were removed by President Salva Kiir.","Bentiu — Over 10 people were killed and 15 injured in South Sudan's Unity state on Friday when about 300 young men, suspected to have crossed the border from neigbouring Lakes state attacked Payinjiar county, an official said. Simon Chuol Biel, the Payinjiar commissioner told Sudan Tribune via a satellite phone that more than 1,000 people have been displaced from Kanynhial, Guor and Mayom payams [districts]. Those who carried out the attack, Biel claimed, came from Rumbek North county in Lakes state, adding that more than 900 cows were looted during the attack. Many people are still missing or remain unaccounted for as some are feared dead or may have been kidnapped by the raiding force, he said. Simon Gatluak Pech, a legislator who represents Payinjiar, also told Sudan Tribune the armed men came from neighbouring Lakes state. He put the death toll, earlier on the day of the attack, at 10, adding that 15 people had been critically injured. ""The attackers were armed with firearms, including eight PKM machine guns,"" Pech said, alleging they wore uniforms similar to those used by South Sudan's army (SPLA). Speaking in Juba, however, the SPLA spokesperson Philip Aguer, said the army had no knowledge of the attack, adding that the military is mandate to protect the country and its civilian protection against external aggression. ""The SPLA cannot therefore move into an area inhabited by civil population for which it is mandated to protect and attack"", he said. Aguer said that the best way to separate armed communities was to allow ""local authorities come up with a decision to address the conflict."" Last month the governors of Lake, Unity and Warrap states passed a law to impose death sentences to those convicted of cattle raiding. Cattle raiding has been a constant cause of insecurity in the two years since South Sudan separated from Sudan. The three bordering states have agreed to immediately implement the death penalty against those instigating or carrying out cattle raids along their borders. Recently, the Inspector General of Police, Pieng Deng Kuol on his visit to the Unity state's capital Bentiu, called for an increase in the number of joint police operations along the volatile Lakes-Unity-Warrap border. Poor infrastructure has hampered attempts of the police and army to patrol border areas. Both Lakes and Unity states are currently ruled by caretaker governors after president Salva Kiir removed their elected governor this year. Taban Deng Gai of Unity state earlier this month while Chol Tong Mayay of Lakes state left office in January. South Sudan's constitution allows the president to remove elected governors for reasons of national security. Both men were elected into office in 2010.",NEGATIVE,,agriculture,-1,0
"The article discusses the European Commission's Humanitarian Aid and Civil Protection Department (ECHO) contribution of €13 million to the United Nations World Food Programme (WFP) in South Sudan. The funds will be used for emergency food assistance and relief supplies, including the purchase of sorghum, salt, and nutritional supplements to prevent and treat malnutrition in children. The Logistics Cluster, managed by WFP, will receive €2 million and the UN Humanitarian Air Service (UNHAS), also managed by WFP, will receive €1 million. The European Union is the second largest donor to WFP in South Sudan with nearly US$50 million provided since the start of the conflict. Millions of people are facing increased food insecurity and poverty due to the 18 months of fighting that has forced two million people from their homes, damaged farming and trade, and devastated people's lives.","""We are grateful to the people of the European Union for these vital funds, which are a sign that the world has not forgotten the millions of people in need of help in South Sudan,"" said WFP South Sudan Representative and Country Director Joyce Luma. The €13 million contribution comes to WFP from the European Commission's Humanitarian Aid and Civil Protection Department (ECHO). It includes €10 million (US$10.6 million) for WFP's emergency food assistance for people displaced and otherwise affected by fighting, mainly in the states of Jonglei, Upper Nile and Unity, as well as in Protection of Civilians areas (PoCs) and other areas hosting large numbers of internally displaced people. The funds will be used to purchase sorghum, salt and specialised nutritional supplements to help prevent and treat malnutrition in children. A further €2 million (US$2.1 million) is allocated to the Logistics Cluster, which is managed by WFP to coordinate and move relief supplies of all types for the wider humanitarian community in South Sudan. Another €1 million (US$1.08 million) is allocated to the UN Humanitarian Air Service (UNHAS), which is also managed by WFP. UNHAS provides safe and reliable passenger air transport that is critical to relief work in South Sudan, especially as the majority of the country's roads are impassable during the rainy season from May to October. The European Union is the second largest donor to WFP in South Sudan. It has provided nearly US$50 million for WFP operations and WFP-managed common services since the start of the conflict. Nearly 18 months of fighting has forced 2 million people from their homes, damaged farming and trade, and devastated people's lives. Millions of people are facing increased food insecurity with the start of the lean season this month and economic hardship that is exposing more people to higher levels of poverty and vulnerability.",POSITIVE,NEGATIVE,agriculture,1,1
"The article discusses a new agreement signed between the Government of Japan and the United Nations World Food Programme (WFP) in Rome to provide food assistance amounting to approximately US$3.125 million to benefit vulnerable people in South Sudan. The contribution will be used to purchase food needed for WFP programmes in South Sudan, where the agency is responding to the urgent humanitarian needs of various vulnerable and food insecure people across the country, including South Sudanese returnees and refugees fleeing conflict in neighbouring countries.","Juba — The Government of Japan and the United Nations World Food Programme (WFP) have signed on 4 December a new agreement in Rome for food assistance amounting to approximately US$3.125 million (250 million Japanese Yen) to benefit the most vulnerable people in the Republic of South Sudan. The contribution will be used to purchase food needed for WFP programmes in South Sudan, where the agency is responding to the urgent humanitarian needs of various vulnerable and food insecure people across the country, including South Sudanese returnees and refugees fleeing conflict in neighbouring countries. ""The Government of Japan decided to provide emergency food assistance, considering the suffering of the people from the current serious food shortage in South Sudan."" said Mr. Takeshi Akamatsu, Special Representative and head of the Liaison Office of the Government of Japan in Juba. ""However, the Government of Japan and people of Japan strongly believe that South Sudan, with its high potential for agriculture, will definitely overcome the food crisis and become a major agrarian country in the future,"" he added. ""This is welcome support at a time when we urgently need to acquire and pre-position food stocks in places that are inaccessible during the rainy season,"" said Chris Nikoi, the WFP South Sudan Country Director. ""We are grateful to the government of Japan for such steadfast support to boost WFP efforts to provide lifesaving assistance to people who are in need,"" he added. WFP in South Sudan has supported 2.5 million people since the beginning of the year through a variety of food assistance activities, including lifesaving food distributions for returnees, refugees and internally displaced people, specializing nutritional support for mothers and young children, school meals, and food-for-assets projects that help communities improve livelihoods and boost their ability to cope with seasonal flooding and other shocks. Japan is currently WFP's fourth largest individual donor, with over US$ 140 million contributions for WFP operations globally in 2012. In South Sudan, Japan has provided nearly US$ 14 million (1.1 billion Japanese Yen) to support WFP activities in the world's newest country since independence.",POSITIVE,NEGATIVE,agriculture,1,1
"The article discusses the hunger crisis in South Sudan due to conflict that erupted in December 2013. More than 2 million people fled their homes. WFP dispatched 190,000 metric tonnes of food by air, river and road and assisted 2.5 million people in the country in 2014. About 2.5 million people have started this year unsure of where their next meal is coming from, and WFP fears the situation will worsen with the start of the lean season in May. WFP aims to assist some 3 million people in South Sudan this year.","20 March 2015 — SUMMARY: Here are ten key facts about the hunger crisis in South Sudan where WFP continues to provide food by any means possible to those in need. 1. More than 2 million people have fled their homes - to other places in South Sudan or to neighbouring countries - as a result of conflict that erupted in the world's youngest nation in December 2013. 2. A huge humanitarian effort helped stave off a famine in South Sudan in 2014 and WFP was a lead organisation in this effort. The agency dispatched 190,000 metric tonnes of food by air, river and road and assisted 2.5 million people in the country last year. 3. About 2.5 million people have started this year unsure of where their next meal is coming from, and WFP fears the situation will get worse with the start of the lean season in May. 4. WFP aims to assist some 3 million people in South Sudan this year, including lifesaving emergency assistance for the conflict-affected, nutrition support for mothers and children, food assistance for refugees, school meals, and asset-creation initiatives aimed at helping communities improve their food security and resilience. 5. South Sudan is one of the world's most challenging environments for humanitarian work, with almost half the country becoming inaccessible when heavy rains start in May. 6. WFP has a 3-month window to strategically pre-position more than 100,000 metric tons of food before the rains in places that would become inaccessible for at least six months. This represents more than 6,500 truck trips. 7. Conflict continues to threaten food security in the three most-affected states, where almost 80 percent of the population was unable to grow their staple crop (sorghum) in the last planting season. 8. Even before the current conflict, 50.6% of South Sudan's population lived below the poverty line. 9. Almost 11 million people live in South Sudan. Of those, 2.5 million people are unsure where their next meal will come from. 10. About 60% of South Sudan is inaccessible by road during the rainy season, complicating relief efforts by WFP and other agencies",NEGATIVE,NEGATIVE,agriculture,0,0
"The article discusses the recent outbreak of Kala-azar in Ayod County, South Sudan which has resulted in the deaths of ten people and the hospitalization of 42 others. Kala-azar is a parasite-carried infectious disease transmitted by sand flies. Additionally, heavy rains have caused flooding in Ayod, leading to the displacement of hundreds of people and destruction of residential houses, markets, schools, and clinics.","Juba — At least ten people have died and 42 others admitted in to hospital following the recent outbreak of Kala-azar in Ayod County in South Sudan's Jonglei State, local leaders say. Seven people died in Pagil Payam [district] while three died in Jech Boma [sub-district], according to Nelson Kuach Thoat, a member of Jonglei State Legislative Assembly representing Ayod. Cases of Kala-azar are common in the water-logged remote areas of Ayod, Pigi and Fangak counties of northern Jonglei state. Annual reports of death and hospitalization from the disease during the rainy season are not new but little has been done to combat the situation. Over fifty people died of Kala-azar last year in Fangak and Ayod between May and June. Local leaders have blamed the recent heavy rains for this year's Kala-azar cases. The MP said that on 9 October it rained for almost 24 straight. Kala-azar is a parasite-carried infectious disease transmitted by sand flies. The disease is fatal if not treated after few days. The Commissioner of Ayod, James Mawich Makuach, told UN Radio Miraya in a phone interview on Wednesday that shops and residential areas have been swept away by floods in Ayod and called on the UN and government to help. Jonglei State's Minister of Health, Jehan Makuei Deng, says an assessment to area will commence soon but flooded roads have made Twic East, Duk and Ayod County inaccessible. FLOOD IN AYOD Hundreds of people are said to have been displaced from Ayod's villages in the west to the County headquarters due to floods following heavy rains that started on Tuesday carried on through to Friday. ""The rains have destroyed residential houses, market, schools and local clinics in Ayod"", said MP Kuony. Rains were reported to have destroyed more than 600 shops in Ayod center. ""No single shop is operating in the market"", he added. A man is also reported drowned in the water while attempting to cross to his home on the over side of the river on Tuesday. Kuony urged the government and UN agencies to intervene quickly to the safe lives of the people in Ayod.",NEGATIVE,NEGATIVE,demographics,-1,-1
